Order ID,Order Name,Created at,Financial Status,Customer ID,Total Price,Subtotal Price,Total Discounts,Shipping Cost,Total Tax,Lineitem quantity,Lineitem sku,Lineitem price,Lineitem total price,Lineitem name,Refund ID,Risk Level,Net Revenue,Fulfillment Cost,Contribution Margin,Order Year,Order Month,Order week,Days Since Order,First Purchase,Variant SKU,Cost per item,Lineitem COGS,Lineitem Gross Profit,Gross Margin %
110460500,#ORD110460500,2025-11-11,pending,1220,1112.0,900,0,50,162.0,5,HERB002,180,900,Neem Face Wash,0,high,1112.0,212.0,1062.0,2025,11,46,63,2025-11-01,HERB002,110,550,350,38.88888888888889
110460501,#ORD110460501,2025-11-29,paid,1116,1436.0,1200,30,50,216.0,4,HERB003,300,1200,Tulsi Shampoo,0,medium,1406.0,266.0,1356.0,2025,11,48,45,2025-11-29,HERB003,190,760,440,36.666666666666664
110460502,#ORD110460502,2025-11-15,paid,1376,1426.0,1200,20,30,216.0,4,HERB003,300,1200,Tulsi Shampoo,0,medium,1406.0,246.0,1376.0,2025,11,46,59,2025-11-15,HERB003,190,760,440,36.666666666666664
110460503,#ORD110460503,2025-11-05,paid,1165,1082.0,900,50,70,162.0,5,HERB002,180,900,Neem Face Wash,0,medium,1032.0,232.0,962.0,2025,11,45,69,2025-11-05,HERB002,110,550,350,38.88888888888889
110460504,#ORD110460504,2025-11-06,paid,1379,279.6,220,30,50,39.6,1,HERB005,220,220,Aloe Vera Gel,0,low,249.60000000000002,89.6,199.60000000000002,2025,11,45,68,2025-11-06,HERB005,140,140,80,36.36363636363637
110460507,#ORD110460507,2025-11-17,paid,1255,738.0,600,0,30,108.0,2,HERB003,300,600,Tulsi Shampoo,0,low,738.0,138.0,708.0,2025,11,47,57,2025-11-17,HERB003,190,380,220,36.666666666666664
110460508,#ORD110460508,2025-11-27,paid,1140,915.0,750,20,50,135.0,3,HERB001,250,750,Amla Hair Oil,0,low,895.0,185.0,845.0,2025,11,48,47,2025-11-27,HERB001,160,480,270,36.0
110460509,#ORD110460509,2025-11-27,paid,1396,1820.0,1500,20,70,270.0,5,HERB003,300,1500,Tulsi Shampoo,0,low,1800.0,340.0,1730.0,2025,11,48,47,2025-11-27,HERB003,190,950,550,36.666666666666664
110460511,#ORD110460511,2025-11-20,paid,1177,1486.0,1200,0,70,216.0,4,HERB003,300,1200,Tulsi Shampoo,0,low,1486.0,286.0,1416.0,2025,11,47,54,2025-11-20,HERB003,190,760,440,36.666666666666664
110460512,#ORD110460512,2025-11-02,paid,1409,539.2,440,30,50,79.2,2,HERB005,220,440,Aloe Vera Gel,0,high,509.20000000000005,129.2,459.20000000000005,2025,11,44,72,2025-11-02,HERB005,140,280,160,36.36363636363637
110460515,#ORD110460515,2025-11-15,paid,1397,1112.0,900,0,50,162.0,5,HERB002,180,900,Neem Face Wash,0,high,1112.0,212.0,1062.0,2025,11,46,59,2025-11-15,HERB002,110,550,350,38.88888888888889
110460517,#ORD110460517,2025-11-03,paid,1493,444.8,360,50,70,64.8,4,HERB004,90,360,Sandalwood Soap,0,low,394.8,134.8,324.8,2025,11,45,71,2025-11-03,HERB004,50,200,160,44.44444444444444
110460518,#ORD110460518,2025-11-06,paid,1343,365.0,250,0,70,45.0,1,HERB001,250,250,Amla Hair Oil,0,high,365.0,115.0,295.0,2025,11,45,68,2025-11-01,HERB001,160,160,90,36.0
110460521,#ORD110460521,2025-11-18,paid,1251,1820.0,1500,20,70,270.0,5,HERB003,300,1500,Tulsi Shampoo,0,medium,1800.0,340.0,1730.0,2025,11,47,56,2025-11-18,HERB003,190,950,550,36.666666666666664
110460522,#ORD110460522,2025-11-18,pending,1261,242.4,180,0,30,32.4,2,HERB004,90,180,Sandalwood Soap,0,high,242.4,62.4,212.4,2025,11,47,56,2025-11-18,HERB004,50,100,80,44.44444444444444
110460523,#ORD110460523,2025-11-20,paid,1401,1082.0,900,50,70,162.0,3,HERB003,300,900,Tulsi Shampoo,0,low,1032.0,232.0,962.0,2025,11,47,54,2025-11-20,HERB003,190,570,330,36.666666666666664
110460524,#ORD110460524,2025-11-29,paid,1414,1102.0,900,30,70,162.0,3,HERB003,300,900,Tulsi Shampoo,0,high,1072.0,232.0,1002.0,2025,11,48,45,2025-11-23,HERB003,190,570,330,36.666666666666664
110460525,#ORD110460525,2025-11-21,paid,1382,474.8,360,20,70,64.8,2,HERB002,180,360,Neem Face Wash,0,high,454.8,134.8,384.8,2025,11,47,53,2025-11-21,HERB002,110,220,140,38.88888888888889
110460526,#ORD110460526,2025-11-09,pending,1094,848.8,660,0,70,118.8,3,HERB005,220,660,Aloe Vera Gel,0,high,848.8,188.8,778.8,2025,11,45,65,2025-11-09,HERB005,140,420,240,36.36363636363637
110460527,#ORD110460527,2025-11-22,paid,1121,454.8,360,20,50,64.8,4,HERB004,90,360,Sandalwood Soap,0,low,434.8,114.8,384.8,2025,11,47,52,2025-11-22,HERB004,50,200,160,44.44444444444444
110460528,#ORD110460528,2025-11-10,paid,1254,348.6,270,0,30,48.6,3,HERB004,90,270,Sandalwood Soap,0,low,348.6,78.6,318.6,2025,11,46,64,2025-11-10,HERB004,50,150,120,44.44444444444444
