Order ID,Order Name,Created at,Financial Status,Customer ID,Total Price,Subtotal Price,Total Discounts,Shipping Cost,Total Tax,Lineitem quantity,Lineitem sku,Lineitem price,Lineitem total price,Lineitem name,Refund ID,Risk Level
110460500,#ORD110460500,2025-11-11,pending,1220,1112,900,0,50,162,5,HERB002,180,900,Neem Face Wash,,high
110460501,#ORD110460501,2025-11-29,paid,1116,1436,1200,30,50,216,4,HERB003,300,1200,Tulsi Shampoo,,medium
110460502,#ORD110460502,2025-11-15,paid,1376,1426,1200,20,30,216,4,HERB003,300,1200,Tulsi Shampoo,,medium
110460503,#ORD110460503,2025-11-05,paid,1165,1082,900,50,70,162,5,HERB002,180,900,Neem Face Wash,,medium
110460504,#ORD110460504,2025-11-06,paid,1379,279.6,220,30,50,39.6,1,HERB005,220,220,Aloe Vera Gel,,low
110460505,#ORD110460505,2025-11-04,refunded,1439,601,450,0,70,81,5,HERB004,90,450,Sandalwood Soap,RFD110460505,medium
110460506,#ORD110460506,2025-11-09,refunded,1391,1486,1200,0,70,216,4,HERB003,300,1200,Tulsi Shampoo,RFD110460506,low
110460507,#ORD110460507,2025-11-17,paid,1255,738,600,0,30,108,2,HERB003,300,600,Tulsi Shampoo,,low
110460508,#ORD110460508,2025-11-27,paid,1140,915,750,20,50,135,3,HERB001,250,750,Amla Hair Oil,,low
110460509,#ORD110460509,2025-11-27,paid,1396,1820,1500,20,70,270,5,HERB003,300,1500,Tulsi Shampoo,,low
110460510,#ORD110460510,2025-11-22,refunded,1213,282.4,180,0,70,32.4,1,HERB002,180,180,Neem Face Wash,RFD110460510,medium
110460511,#ORD110460511,2025-11-20,paid,1177,1486,1200,0,70,216,4,HERB003,300,1200,Tulsi Shampoo,,low
110460512,#ORD110460512,2025-11-02,paid,1409,539.2,440,30,50,79.2,2,HERB005,220,440,Aloe Vera Gel,,high
110460513,#ORD110460513,2025-11-04,refunded,1210,1132,900,0,70,162,3,HERB003,300,900,Tulsi Shampoo,RFD110460513,medium
110460514,#ORD110460514,2025-11-26,refunded,1312,368.6,270,0,50,48.6,3,HERB004,90,270,Sandalwood Soap,RFD110460514,medium
110460515,#ORD110460515,2025-11-15,paid,1397,1112,900,0,50,162,5,HERB002,180,900,Neem Face Wash,,high
110460516,#ORD110460516,2025-11-22,refunded,1479,262.4,180,0,50,32.4,2,HERB004,90,180,Sandalwood Soap,RFD110460516,medium
110460517,#ORD110460517,2025-11-03,paid,1493,444.8,360,50,70,64.8,4,HERB004,90,360,Sandalwood Soap,,low
110460518,#ORD110460518,2025-11-06,paid,1343,365,250,0,70,45,1,HERB001,250,250,Amla Hair Oil,,high
110460519,#ORD110460519,2025-11-12,refunded,1057,424,300,0,70,54,1,HERB003,300,300,Tulsi Shampoo,RFD110460519,high
110460520,#ORD110460520,2025-11-15,refunded,1278,1230,1000,0,50,180,4,HERB001,250,1000,Amla Hair Oil,RFD110460520,low
110460521,#ORD110460521,2025-11-18,paid,1251,1820,1500,20,70,270,5,HERB003,300,1500,Tulsi Shampoo,,medium
110460522,#ORD110460522,2025-11-18,pending,1261,242.4,180,0,30,32.4,2,HERB004,90,180,Sandalwood Soap,,high
110460523,#ORD110460523,2025-11-20,paid,1401,1082,900,50,70,162,3,HERB003,300,900,Tulsi Shampoo,,low
110460524,#ORD110460524,2025-11-29,paid,1414,1102,900,30,70,162,3,HERB003,300,900,Tulsi Shampoo,,high
110460525,#ORD110460525,2025-11-21,paid,1382,474.8,360,20,70,64.8,2,HERB002,180,360,Neem Face Wash,,high
110460526,#ORD110460526,2025-11-09,pending,1094,848.8,660,0,70,118.8,3,HERB005,220,660,Aloe Vera Gel,,high
110460527,#ORD110460527,2025-11-22,paid,1121,454.8,360,20,50,64.8,4,HERB004,90,360,Sandalwood Soap,,low
110460528,#ORD110460528,2025-11-10,paid,1254,348.6,270,0,30,48.6,3,HERB004,90,270,Sandalwood Soap,,low
110460529,#ORD110460529,2025-11-09,pending,1336,318.6,270,30,30,48.6,3,HERB004,90,270,Sandalwood Soap,,medium
110460530,#ORD110460530,2025-11-11,paid,1276,1058.4,880,30,50,158.4,4,HERB005,220,880,Aloe Vera Gel,,low
110460531,#ORD110460531,2025-11-13,paid,1146,354,300,50,50,54,1,HERB003,300,300,Tulsi Shampoo,,low
110460532,#ORD110460532,2025-11-03,paid,1444,1308,1100,20,30,198,5,HERB005,220,1100,Aloe Vera Gel,,medium
110460533,#ORD110460533,2025-11-26,paid,1068,1210,1000,20,50,180,4,HERB001,250,1000,Amla Hair Oil,,high
110460534,#ORD110460534,2025-11-24,paid,1234,222.4,180,20,30,32.4,1,HERB002,180,180,Neem Face Wash,,low
110460535,#ORD110460535,2025-11-20,paid,1283,348.6,270,20,50,48.6,3,HERB004,90,270,Sandalwood Soap,,high
110460536,#ORD110460536,2025-11-15,paid,1026,895,750,20,30,135,3,HERB001,250,750,Amla Hair Oil,,medium
110460537,#ORD110460537,2025-11-04,paid,1273,788.8,660,20,30,118.8,3,HERB005,220,660,Aloe Vera Gel,,high
110460538,#ORD110460538,2025-11-24,pending,1310,849.6,720,50,50,129.6,4,HERB002,180,720,Neem Face Wash,,medium
110460539,#ORD110460539,2025-11-19,paid,1393,1338,1100,30,70,198,5,HERB005,220,1100,Aloe Vera Gel,,low
110460540,#ORD110460540,2025-11-08,paid,1243,499.2,440,50,30,79.2,2,HERB005,220,440,Aloe Vera Gel,,high
110460541,#ORD110460541,2025-11-02,paid,1135,1318,1100,30,50,198,5,HERB005,220,1100,Aloe Vera Gel,,low
110460542,#ORD110460542,2025-11-01,paid,1459,1318,1100,30,50,198,5,HERB005,220,1100,Aloe Vera Gel,,low
110460543,#ORD110460543,2025-11-11,paid,1019,354,300,30,30,54,1,HERB003,300,300,Tulsi Shampoo,,medium
110460544,#ORD110460544,2025-11-25,paid,1464,899.6,720,0,50,129.6,4,HERB002,180,720,Neem Face Wash,,low
110460545,#ORD110460545,2025-11-27,paid,1042,885,750,30,30,135,3,HERB001,250,750,Amla Hair Oil,,low
110460546,#ORD110460546,2025-11-17,refunded,1240,494.8,360,0,70,64.8,4,HERB004,90,360,Sandalwood Soap,RFD110460546,medium
110460547,#ORD110460547,2025-11-10,paid,1170,1038.4,880,30,30,158.4,4,HERB005,220,880,Aloe Vera Gel,,medium
110460548,#ORD110460548,2025-11-02,paid,1458,404,300,20,70,54,1,HERB003,300,300,Tulsi Shampoo,,low
110460549,#ORD110460549,2025-11-06,paid,1004,212.4,180,30,30,32.4,2,HERB004,90,180,Sandalwood Soap,,medium
