Order ID,Order Name,Created at,Financial Status,Customer ID,Total Price,Subtotal Price,Total Discounts,Shipping Cost,Total Tax,Lineitem quantity,Lineitem sku,Lineitem price,Lineitem total price,Lineitem name,Refund ID,Risk Level
110460500,#ORD110460500,2025-11-11,pending,1220,1112.0,900,0,50,162.0,5,HERB002,180,900,Neem Face Wash,,high
110460501,#ORD110460501,2025-11-29,paid,1116,1436.0,1200,30,50,216.0,4,HERB003,300,1200,Tulsi Shampoo,,medium
110460502,#ORD110460502,2025-11-15,paid,1376,1426.0,1200,20,30,216.0,4,HERB003,300,1200,Tulsi Shampoo,,medium
110460503,#ORD110460503,2025-11-05,paid,1165,1082.0,900,50,70,162.0,5,HERB002,180,900,Neem Face Wash,,medium
110460504,#ORD110460504,2025-11-06,paid,1379,279.6,220,30,50,39.6,1,HERB005,220,220,Aloe Vera Gel,,low
110460505,#ORD110460505,2025-11-04,refunded,1439,601.0,450,0,70,81.0,5,HERB004,90,450,Sandalwood Soap,RFD110460505,medium
110460506,#ORD110460506,2025-11-09,refunded,1391,1486.0,1200,0,70,216.0,4,HERB003,300,1200,Tulsi Shampoo,RFD110460506,low
110460507,#ORD110460507,2025-11-17,paid,1255,738.0,600,0,30,108.0,2,HERB003,300,600,Tulsi Shampoo,,low
110460508,#ORD110460508,2025-11-27,paid,1140,915.0,750,20,50,135.0,3,HERB001,250,750,Amla Hair Oil,,low
110460509,#ORD110460509,2025-11-27,paid,1396,1820.0,1500,20,70,270.0,5,HERB003,300,1500,Tulsi Shampoo,,low
110460510,#ORD110460510,2025-11-22,refunded,1213,282.4,180,0,70,32.4,1,HERB002,180,180,Neem Face Wash,RFD110460510,medium
110460511,#ORD110460511,2025-11-20,paid,1177,1486.0,1200,0,70,216.0,4,HERB003,300,1200,Tulsi Shampoo,,low
110460512,#ORD110460512,2025-11-02,paid,1409,539.2,440,30,50,79.2,2,HERB005,220,440,Aloe Vera Gel,,high
110460513,#ORD110460513,2025-11-04,refunded,1210,1132.0,900,0,70,162.0,3,HERB003,300,900,Tulsi Shampoo,RFD110460513,medium
110460514,#ORD110460514,2025-11-26,refunded,1312,368.6,270,0,50,48.6,3,HERB004,90,270,Sandalwood Soap,RFD110460514,medium
110460515,#ORD110460515,2025-11-15,paid,1397,1112.0,900,0,50,162.0,5,HERB002,180,900,Neem Face Wash,,high
110460516,#ORD110460516,2025-11-22,refunded,1479,262.4,180,0,50,32.4,2,HERB004,90,180,Sandalwood Soap,RFD110460516,medium
110460517,#ORD110460517,2025-11-03,paid,1493,444.8,360,50,70,64.8,4,HERB004,90,360,Sandalwood Soap,,low
110460518,#ORD110460518,2025-11-06,paid,1343,365.0,250,0,70,45.0,1,HERB001,250,250,Amla Hair Oil,,high
110460519,#ORD110460519,2025-11-12,refunded,1057,424.0,300,0,70,54.0,1,HERB003,300,300,Tulsi Shampoo,RFD110460519,high
110460520,#ORD110460520,2025-11-15,refunded,1278,1230.0,1000,0,50,180.0,4,HERB001,250,1000,Amla Hair Oil,RFD110460520,low
110460521,#ORD110460521,2025-11-18,paid,1251,1820.0,1500,20,70,270.0,5,HERB003,300,1500,Tulsi Shampoo,,medium
110460522,#ORD110460522,2025-11-18,pending,1261,242.4,180,0,30,32.4,2,HERB004,90,180,Sandalwood Soap,,high
110460523,#ORD110460523,2025-11-20,paid,1401,1082.0,900,50,70,162.0,3,HERB003,300,900,Tulsi Shampoo,,low
